Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
M,M250X11.2,1430,254,254,69.8,3.18,4.76,–,–,127,108,97.8,0.234,11.0,6.85,12.8,–,–,–,7.78,3.63
M,M200X9.7,1240,203,203,57.2,3.18,4.76,–,–,89.0,75.9,79.0,0.157,8.67,5.39,11.3,–,–,–,7.66,1.54
M,M200X9.2,1170,203,203,57.2,3.18,4.76,–,–,84.4,71.9,78.7,0.147,8.11,5.05,11.2,–,–,–,6.49,1.44
M,M150X6.6,832,152,152,47.6,3.18,4.76,–,–,45.9,39.5,59.9,0.0749,5.10,3.20,9.45,–,–,–,4.12,0.411
M,M150X5.5,703,150,149,50.8,3.18,3.18,–,–,38.2,32.9,59.4,0.0720,4.47,2.83,10.1,–,–,–,2.21,0.389
M,M130X28.1,3590,127,127,127,7.94,11.1,–,–,182,158,52.8,3.62,87.3,57.0,31.8,–,–,–,130,12.3
M,M100X8.9,1130,96.5,95.2,95.2,3.18,4.76,–,–,44.9,40.6,41.7,0.612,19.3,12.6,23.2,–,–,–,7.66,1.31
M,M100X6.1,819,102,102,57.2,3.18,4.76,–,–,32.8,29.0,42.4,0.135,7.42,4.74,12.9,–,–,–,6.12,0.320
M,M100X5.1,652,102,102,57.2,1.59,3.18,–,–,26.2,23.4,42.7,0.103,5.67,3.62,12.6,–,–,–,3.41,0.250
M,M100X4.8,652,102,102,57.2,1.59,3.18,–,–,26.2,23.4,42.7,0.103,5.67,3.62,12.6,–,–,–,3.41,0.250
M,M100X4.3,590,76.2,76.2,57.2,1.59,3.18,–,–,18.4,16.4,32.5,0.103,5.64,3.62,13.2,–,–,–,3.29,0.137
M,M12.5X12.4,12.4,3.63,12.5,3.75,0.155,0.228,–,74.8,89.3,16.5,14.2,4.96,2.01,1.68,1.07,0.744,–,–,–,0.0493
M,M12.5X11.6,11.6,3.40,12.5,3.50,0.155,0.211,–,74.8,80.3,15.0,12.8,4.86,1.51,1.37,0.864,0.667,–,–,–,0.0414
M,M12X11.8,11.8,3.47,12.0,3.07,0.177,0.225,–,62.5,72.2,14.3,12.0,4.56,1.09,1.15,0.709,0.559,–,–,–,0.0500
M,M12X10.8,10.8,3.18,12.0,3.07,0.160,0.210,–,69.2,66.7,13.2,11.1,4.58,1.01,1.07,0.661,0.564,–,–,–,0.0393
